measurementDate,stationId,temperature
2022/10/10,31574,14
2022/10/10,30363,13
2022/10/10,30409,13
2022/10/10,27083,14
2022/10/10,29039,13
2022/10/10,28547,14
2022/10/10,28231,13
2022/10/10,31061,13
2022/10/10,20043,13
2022/10/10,30479,14
2022/10/10,26459,15
2022/10/10,22599,13
2022/10/10,31623,13
2022/10/10,22122,14
2022/10/10,30015,14
2022/10/10,23131,13
2022/10/10,20567,13
2022/10/10,30203,13
2022/10/10,22333,14
2022/10/10,30336,13
2022/10/10,21011,13
2022/10/10,22009,12
2022/10/10,25151,13
2022/10/10,22059,11
2022/10/10,20102,14
2022/10/10,23289,14
2022/10/04,26459,14
2022/10/04,28231,14
2022/10/04,31623,15
2022/10/04,31061,14
2022/10/04,22059,12
2022/10/04,30409,14
2022/10/04,30479,15
2022/10/04,30015,14
2022/10/04,23289,14
2022/10/04,28547,14
2022/10/04,30336,14
2022/10/04,20043,14
2022/10/04,22122,13
2022/10/04,21011,13
2022/10/04,30203,14
2022/10/04,20102,14
2022/10/04,27083,14
2022/10/04,25151,13
2022/10/04,29394,14
2022/10/04,31574,15
2022/10/04,30363,14
2022/10/04,22009,13
2022/10/04,32048,15
2022/10/04,22599,13
2022/10/04,20567,14
2022/10/04,23131,13
2022/10/04,29039,13
2022/10/04,22333,14
2022/09/19,30409,16
2022/09/19,30363,15
2022/09/19,28547,15
2022/09/19,30015,15
2022/09/19,31574,15
2022/09/19,23289,16
2022/09/19,20102,16
2022/09/19,23131,15
2022/09/19,22059,14
2022/09/19,30336,16
2022/09/19,31061,15
2022/09/19,21011,15
2022/09/19,20043,15
2022/09/19,29039,14
2022/09/19,22009,15
2022/09/19,22333,15
2022/09/19,20567,16
2022/09/19,22599,15
2022/09/19,30203,16
2022/09/19,25151,14
2022/09/19,27083,16
2022/09/19,26459,15
2022/09/19,30479,16
2022/09/19,31623,15
2022/09/19,28231,15
2022/09/19,29394,16
2022/09/19,32048,17
2022/09/19,22122,16
2022/07/20,30203,19
2022/07/20,30479,19
2022/07/20,31623,17
2022/07/20,21011,16
2022/07/20,30015,19
2022/07/20,23289,17
2022/07/20,31061,18
2022/07/20,30409,20
2022/07/20,28547,19
2022/07/20,22009,20
2022/07/20,30336,17
2022/07/20,20567,19
2022/07/20,29039,19
2022/07/20,22599,20
2022/07/20,32048,19
2022/07/20,26459,15
2022/07/20,22122,19
2022/07/20,22333,19
2022/07/20,30363,19
2022/07/20,28231,19
2022/07/20,25151,19
2022/07/20,29394,20
2022/07/20,22059,21
2022/07/20,20102,18
2022/07/20,23131,19
2022/07/20,20043,18
2022/07/08,20567,17
2022/07/08,22059,18
2022/07/08,21011,17
2022/07/08,20102,17
2022/07/08,31061,12
2022/07/08,31574,15
2022/07/08,26459,18
2022/07/08,28231,17
2022/07/08,28547,18
2022/07/08,23131,17
2022/07/08,30015,19
2022/07/08,29039,19
2022/07/08,30203,19
2022/07/08,25151,18
2022/07/08,22122,18
2022/07/08,30336,18
2022/07/08,29394,18
2022/07/08,20043,18
2022/07/08,27083,18
2022/07/08,31623,19
2022/07/08,30363,19
2022/07/08,23289,17
2022/07/08,22599,17
2022/07/08,22009,17
2022/07/08,22333,17
2022/07/08,30479,16
2022/07/08,30409,21
2022/09/25,31061,16
2022/09/25,21011,15
2022/09/25,30336,15
2022/09/25,20043,15
2022/09/25,22059,14
2022/09/25,20567,16
2022/09/25,22599,15
2022/09/25,30015,16
2022/09/25,26459,16
2022/09/25,29394,16
2022/09/25,23289,16
2022/09/25,27083,15
2022/09/25,20102,15
2022/09/25,31574,16
2022/09/25,25151,15
2022/09/25,23131,15
2022/09/25,28547,15
2022/09/25,31623,15
2022/09/25,22333,15
2022/09/25,30203,15
2022/09/25,30363,16
2022/09/25,30409,16
2022/09/25,28231,15
2022/09/25,30479,16
2022/09/25,22009,15
2022/09/25,29039,15
2022/09/25,22122,16
2022/05/31,31574,13
2022/05/31,22009,14
2022/05/31,27083,14
2022/05/31,28547,13
2022/05/31,22333,13
2022/05/31,28234,13
2022/05/31,26459,13
2022/05/31,25151,14
2022/05/31,29039,15
2022/05/31,20102,13
2022/05/31,30409,16
2022/05/31,22059,15
2022/05/31,31061,14
2022/05/31,22122,14
2022/05/31,23131,13
2022/05/31,22599,12
2022/05/31,31623,14
2022/05/31,20043,14
2022/05/31,20567,14
2022/05/31,30479,13
2022/05/31,30203,13
2022/05/31,30363,14
2022/05/31,29394,14
2022/05/31,30015,14
2022/05/31,21011,13
2022/05/25,30363,15
2022/05/25,31623,15
2022/05/25,27083,12
2022/05/25,22599,13
2022/05/25,28547,14
2022/05/25,21011,12
2022/05/25,20567,14
2022/05/25,20102,13
2022/05/25,23131,13
2022/05/25,29394,15
2022/05/25,22122,10
2022/05/25,20043,13
2022/05/25,31061,14
2022/05/25,31574,14
2022/05/25,22333,14
2022/05/25,30479,13
2022/05/25,22009,14
2022/05/25,22059,15
2022/05/25,25151,16
2022/05/25,30203,13
2022/05/25,26459,12
2022/05/25,29039,16
2022/05/25,28234,14
2022/05/25,30409,17
2022/05/25,23289,13
2022/05/25,30015,12
2022/02/04,23131,5
2022/02/04,25151,5
2022/02/04,32048,4
2022/02/04,27083,5
2022/02/04,31623,4
2022/02/04,30015,4
2022/02/04,22333,6
